grad_norm,loss,loss_q1,loss_q2,loss_q3,mse,mse_q1,mse_q2,mse_q3,samples,step,vb,vb_q1,vb_q2,vb_q3,loss_q0,mse_q0,vb_q0
0.06304466763920298,0.0002913493080995977,0.0004941482523766657,0.00021237578039290383,6.612442302866839e-05,0.00028899434255436063,0.0004904881158533195,0.00021049850329291075,6.524951459141448e-05,1190007,170000,2.354964863116038e-06,3.660131293751571e-06,1.8772722114590579e-06,8.749075277592055e-07,,,
0.07463329698162822,0.002334551332751289,0.0008760255768720527,0.00022276950039668003,6.37815345625212e-05,0.002267358655808494,0.0008695525502844248,0.00022081210894005684,6.294552541577206e-05,1190077,170010,6.719261527905475e-05,6.4730262181456055e-06,1.957392091374762e-06,8.360092793837895e-07,0.008013569821034456,0.007760812360275951,0.0002527574016413483
0.09674432897343144,0.0028424330230336636,0.0007222611121296025,0.0002337390797038097,7.015570528372856e-05,0.002735249795659911,0.0007168756229265665,0.00023166291648522017,6.924400674636545e-05,1190147,170020,0.00010718319542775135,5.385486701925401e-06,2.0761619282438914e-06,9.116991870022113e-07,0.007996693101671082,0.00767588764226631,0.00032080542919372767
0.074730150663855,0.0019128606392769143,0.0010936562988824922,0.00017520748224342245,7.112367616389835e-05,0.001851820998126641,0.0010855333718662974,0.00017358188128319422,7.024539046965183e-05,1190217,170030,6.103964287831331e-05,8.122921278353553e-06,1.6256009662117176e-06,8.782858945518715e-07,0.00849888771055983,0.008184629617832027,0.0003142580524301873
0.1019722239890728,0.002991262124851346,0.001069896720582619,0.00019016530040971702,7.7909135294855e-05,0.0028369258885504673,0.0010619712062180041,0.0001884569874164299,7.696702429408711e-05,1190287,170040,0.000154336341825001,7.925510969168196e-06,1.7083129115746938e-06,9.421120902667706e-07,0.0125618285809954,0.011852847416109095,0.0007089811125903602
0.10341661360610396,0.003397037059767172,0.0011972975626122206,0.00021269896514359448,6.52306443953421e-05,0.0032078480260679504,0.0011883945724762536,0.0002108211913804078,6.438338750740512e-05,1190357,170050,0.00018918890316399484,8.903001691899538e-06,1.8777735926564871e-06,8.472566795110954e-07,0.014104532264173032,0.01323546718340367,0.0008690649551984582
0.10325866986690145,0.0019858845247654245,0.001046244743130436,0.0002309869031887502,7.088658033656732e-05,0.0019178555579856037,0.001038578429350829,0.00022897877788636837,6.998971568666295e-05,1190427,170060,6.802900684306224e-05,7.66631384457079e-06,2.0081264187865605e-06,8.968644951639565e-07,0.009024142413041912,0.008671191995605256,0.00035295038049718225
0.09387314658877975,0.0018931936996523292,0.0007101015730050242,0.00022592724280912083,7.081041212586572e-05,0.001850625133374706,0.0007048476989822169,0.00022396117492462508,6.99250149409636e-05,1190497,170070,4.256864326634968e-05,5.253881358600521e-06,1.9660700871781955e-06,8.853965667299235e-07,0.006014938074115075,0.005865761348487514,0.00014917672242039482
0.15643952563935956,0.004104219812143129,0.0008582141996488314,0.00015734254411654548,7.140154544189993e-05,0.003596635584835894,0.0008518754978219722,0.00015586931112920865,7.04746104350885e-05,1190567,170080,0.0005075843819781767,6.338709071811041e-06,1.4732318902588304e-06,9.269349525518257e-07,0.016579400136834004,0.014369629701832315,0.002209770494630447
0.07426876226629285,0.0019460778421489522,0.0008059613101067954,0.0001966487475328904,7.492507554868804e-05,0.0019085189400357193,0.0008000036948942578,0.00019488947100398943,7.400681412642976e-05,1190637,170090,3.755887822762816e-05,5.957613666396355e-06,1.7592767029839251e-06,9.18261005406546e-07,0.007225698951515373,0.007071618230838792,0.00015408074744982514
0.09963061892332867,0.002906260297459085,0.000757587225122664,0.00016484905669737299,7.424491195706653e-05,0.0027410413109464574,0.0007519259704097819,0.00016330225440065583,7.33048186702945e-05,1190707,170100,0.0001652189577612262,5.66125849078302e-06,1.5468025967240665e-06,9.400935804630233e-07,0.012589360975349942,0.011826605986182884,0.0007627550197260765
0.13867759846852767,0.004028616735013202,0.0007892847017501479,0.00017214096078532753,6.92689536663238e-05,0.0036792126542422926,0.0007834981632186098,0.00017059705078281695,6.84049513698223e-05,1190777,170110,0.00034940401083076715,5.786539452401486e-06,1.5439081479939889e-06,8.640027187669017e-07,0.01312467223033309,0.011909384740283717,0.001215287555260147
