grad_norm,loss,loss_q0,mse,mse_q0,samples,step,loss_q1,loss_q2,loss_q3,mse_q1,mse_q2,mse_q3
1.992775234040025,0.9956579208374023,0.9956579208374023,0.9956579208374023,0.9956579208374023,1,0,,,,,,
0.6572059190757457,0.07243046832364075,0.14304420946395954,0.07243046832364075,0.14304420946395954,1001,1000,0.04714708652605591,0.038997492119364575,0.059138490928316224,0.04714708652605591,0.038997492119364575,0.059138490928316224
0.32004746760868086,0.023428303465480003,0.07098115834007308,0.023428303465480003,0.07098115834007308,2001,2000,0.014724423231605851,0.00468299304642281,0.002809598116019449,0.014724423231605851,0.00468299304642281,0.002809598116019449
0.26732838195728403,0.02139906452409921,0.06798008186665701,0.02139906452409921,0.06798008186665701,3001,3000,0.013243566413593448,0.0038701828587800265,0.0019837601003466093,0.013243566413593448,0.0038701828587800265,0.0019837601003466093
0.24670678202490648,0.018918809746566696,0.05522047275484634,0.018918809746566696,0.05522047275484634,4001,4000,0.012855098660716411,0.0035826719456141993,0.0016040233567901799,0.012855098660716411,0.0035826719456141993,0.0016040233567901799
0.245811205518922,0.02039870967034949,0.0618136237678824,0.02039870967034949,0.0618136237678824,5001,5000,0.012362871228039944,0.0038000242667301574,0.0014716087776875152,0.012362871228039944,0.0038000242667301574,0.0014716087776875152
0.2181295880987834,0.017289342054398707,0.05199385836720468,0.017289342054398707,0.05199385836720468,6001,6000,0.012044183659982163,0.0034951951160064314,0.0013422033875599032,0.012044183659982163,0.0034951951160064314,0.0013422033875599032
0.22357850345766447,0.018020796504511945,0.06047479212698014,0.018020796504511945,0.06047479212698014,7001,7000,0.011972173516239443,0.003507239647755718,0.0013694901858868351,0.011972173516239443,0.003507239647755718,0.0013694901858868351
0.21796107868912246,0.019030869818583585,0.05676092724188991,0.019030869818583585,0.05676092724188991,8001,8000,0.01261450205451522,0.0033472277292137236,0.0013760316925653892,0.01261450205451522,0.0033472277292137236,0.0013760316925653892
0.22397083569782658,0.01892031991539986,0.05889364888389539,0.01892031991539986,0.05889364888389539,9001,9000,0.011993285502410593,0.0032436470283155766,0.0013478856036131276,0.011993285502410593,0.0032436470283155766,0.0013478856036131276
0.20551574338463494,0.016183267083717506,0.054458605790172115,0.016183267083717506,0.054458605790172115,10001,10000,0.011822419003813658,0.00303127303626029,0.001193712773198594,0.011822419003813658,0.00303127303626029,0.001193712773198594
0.1904374972494988,0.014568327170825788,0.046772268835653004,0.014568327170825788,0.046772268835653004,11001,11000,0.010923436686505366,0.0029196283028340955,0.001054704575164846,0.010923436686505366,0.0029196283028340955,0.001054704575164846
0.19632185843608005,0.016451182367221887,0.05229397079674527,0.016451182367221887,0.05229397079674527,12001,12000,0.011584053246675411,0.002981321764372747,0.0010932938837190619,0.011584053246675411,0.002981321764372747,0.0010932938837190619
0.20189383475521308,0.016884565908170807,0.05137656320140784,0.016884565908170807,0.05137656320140784,13001,13000,0.01161367184955232,0.0030751091014075593,0.001101109814181315,0.01161367184955232,0.0030751091014075593,0.001101109814181315
0.20043850030263577,0.01716903168064894,0.05491083697223469,0.01716903168064894,0.05491083697223469,14001,14000,0.01118917282789,0.0031611613385065115,0.0010654023636253878,0.01118917282789,0.0031611613385065115,0.0010654023636253878
0.182550720163734,0.015029613601393047,0.04481831174418035,0.015029613601393047,0.04481831174418035,15001,15000,0.010916302669630928,0.002961921374604805,0.000918204165888407,0.010916302669630928,0.002961921374604805,0.000918204165888407
0.18935815108937065,0.015854895486874694,0.0482779017010448,0.015854895486874694,0.0482779017010448,16001,16000,0.010718669578682439,0.003062686271477375,0.0010214965967855084,0.010718669578682439,0.003062686271477375,0.0010214965967855084
0.18825096384215081,0.015909629221219787,0.05048702568289077,0.015909629221219787,0.05048702568289077,17001,17000,0.010266635846729863,0.00301470680068698,0.0009852376794557902,0.010266635846729863,0.00301470680068698,0.0009852376794557902
0.186770263110848,0.017936120006110255,0.05473941373620832,0.017936120006110255,0.05473941373620832,18001,18000,0.011086648582172846,0.0029009269756370636,0.0010127810777462365,0.011086648582172846,0.0029009269756370636,0.0010127810777462365
0.17567272467920775,0.014457761755620597,0.0425872005013577,0.014457761755620597,0.0425872005013577,19001,19000,0.010700890435342544,0.003002783985450589,0.0008708983790464857,0.010700890435342544,0.003002783985450589,0.0008708983790464857
0.1833599148931836,0.015988587212545074,0.048950077309106235,0.015988587212545074,0.048950077309106235,20001,20000,0.011501635266941472,0.00291390525795549,0.0009635148257635028,0.011501635266941472,0.00291390525795549,0.0009635148257635028
0.18296628178595778,0.016452906976977835,0.05177460895965295,0.016452906976977835,0.05177460895965295,21001,21000,0.010794774968338406,0.003011131599404902,0.0009673943477228943,0.010794774968338406,0.003011131599404902,0.0009673943477228943
0.18054878388395104,0.01757430487486998,0.05165290986153762,0.01757430487486998,0.05165290986153762,22001,22000,0.011142237271997132,0.0028160232986437555,0.0009168121233991988,0.011142237271997132,0.0028160232986437555,0.0009168121233991988
0.1732181740932717,0.01538312927659718,0.04859329398651319,0.01538312927659718,0.04859329398651319,23001,23000,0.010700589564145989,0.002690092609670485,0.0008463158739085799,0.010700589564145989,0.002690092609670485,0.0008463158739085799
0.1678695903257383,0.01469147285289364,0.04434794015325015,0.01469147285289364,0.04434794015325015,24001,24000,0.010673661625421629,0.002771675945848953,0.0008509474002731203,0.010673661625421629,0.002771675945848953,0.0008509474002731203
0.16966235802322624,0.015661828337397297,0.046819618744883496,0.015661828337397297,0.046819618744883496,25001,25000,0.01035413654753938,0.0027997580030139284,0.000871742603253534,0.01035413654753938,0.0027997580030139284,0.000871742603253534
