grad_norm,loss,loss_q0,mse,mse_q0,samples,step,vb,vb_q0,loss_q2,loss_q3,mse_q2,mse_q3,vb_q2,vb_q3,loss_q1,mse_q1,vb_q1
2.527228781825884,1.0132583379745483,1.0132583379745483,1.0026702880859375,1.0026702880859375,1,0,0.010588083416223526,0.010588083416223526,,,,,,,,,
3.3879507871451806,0.9155203104019165,0.9290059804916382,0.9052316904067993,0.9179578125476837,11,10,0.010288619762286543,0.011048189364373684,0.9074797034263611,0.9168180823326111,0.8992600739002228,0.9048402458429337,0.008219623821787536,0.011977830901741982,,,
3.20599495043006,0.7348718583583831,0.7912978927294414,0.7252683162689209,0.7741561333338419,21,20,0.009603543393313884,0.017141761879126232,0.7146818041801453,,0.7078447699546815,,0.006837037485092879,,0.7007079422473907,0.6954954564571381,0.0052124804351478815
3.2593100347688986,0.6592411488294602,0.7488655249277751,0.6150896817445755,0.6787287195523579,31,30,0.04415146016981453,0.0701367996322612,,0.5271918773651123,,0.5206626504659653,,0.00652922410517931,0.5224172919988632,0.5185995995998383,0.003817677847109735
2.53525213264413,0.4293292909860611,0.4706843256950378,0.42482226788997646,0.4648800909519195,41,40,0.004507023026235402,0.0058042350690811866,,0.40315890312194824,,0.3981614112854004,,0.004997482523322105,0.3841780945658684,0.3814152032136917,0.0027628930984064937
2.4732506299268318,0.3218961894512176,0.49993276596069336,0.317094275355339,0.479984849691391,51,50,0.004801910696551204,0.019947916269302368,0.2932984530925751,0.3226698935031891,0.29059773683547974,0.3183379868666331,0.002700710785575211,0.0043318999620775385,0.2889128178358078,0.28677649796009064,0.002136323833838105
1.737770193526438,0.21392912268638611,0.2618636190891266,0.21165299117565153,0.25925561785697937,61,60,0.002276130183599889,0.0026079940143972635,0.1871409018834432,0.21806374788284302,0.18536661068598428,0.21544982194900514,0.0017742882870758572,0.002613926166668534,0.22568616271018982,0.22392535209655762,0.001760812127031386
2.4446955436095696,0.19077573865652084,0.26537176221609116,0.1875152572989464,0.25920533016324043,71,70,0.003260479908203706,0.00616642675595358,0.13017729669809341,0.15758535265922546,0.12893003225326538,0.15534944832324982,0.001247266074642539,0.0022359041031450033,0.14277679721514386,0.1417072465022405,0.0010695519352642198
1.197900861941684,0.10444844514131546,0.11332509107887745,0.10347782894968986,0.11222541518509388,81,80,0.0009706147131510079,0.0010996743658324704,0.09534202516078949,0.09304829686880112,0.09447162598371506,0.09187480062246323,0.0008703977218829095,0.0011734957806766033,0.10605485737323761,0.10529347509145737,0.0007613803609274328
0.8589781094401048,0.06582820303738118,0.07271459698677063,0.06512746438384057,0.07187297940254211,91,90,0.0007007388107012957,0.0008416189230047166,0.06416165580352148,0.062428283505141735,0.06352714076638222,0.06162110064178705,0.0006345162595001359,0.0008071836491581053,0.07168466597795486,0.07116791978478432,0.0005167429044377059
1.0252563955162275,0.05552338771522045,0.07098613027483225,0.05480725951492786,0.06988131999969482,101,100,0.0007161287416238338,0.0011048098240280524,0.043212030082941055,0.04813582822680473,0.042816092570622764,0.04753167741000652,0.00039593849214725196,0.000604152271989733,0.045381609350442886,0.04503568261861801,0.00034592809970490634
